编号	普通话	方言	发音	注释
1125	会儿	蜀行囝	si44œŋ21ŋiaŋ41 	坐了一～
1126	顿	顿	doruŋ35 	打一～
1127	阵	落	lork2 	下了一～雨
1128	趟	倒	dor35 	去了一～
1129	我	我	ŋo41 	～姓王
1130	你	汝	ni41 	～也姓王
1131	您	汝	ni41 	尊称
1132	他	伊	ei331 	～姓张
1133	我们	我侪	ŋo21ae21 	不包括听话人：你们别去，～去
1134	咱们	我汝侪	ŋo44ni44ae21 	包括听话人：他们不去，～去吧
1135	你们	汝侪	ni23ae21 	～去
1136	他们	伊侪	ei44ae21 	～去
1137	大家	齐侪	zi21ae21 	～一起干
1138	自己	自己	zei23nei23 	我～做的
1139	别人	各侬	gœu55nœuŋ21 	这是～的
1140	我爸	我爸	ŋo41ma23 	～今年八十岁
1141	你爸	汝爸	ni41ma23 	～在家吗？
1142	他爸	伊爸	ei44ma23 	～去世了
1143	这个	这隻	zei55ʒek5 	我要～，不要那个
1144	那个	许隻	hei55ʒek5 	我要这个，不要～
1145	哪个	底隻	di35ʒek5 	你要～杯子？
1146	谁	底侬	dœuŋ41 	你找～？
1147	这里	这堆	zei55lori331 	在～，不在那里
1148	那里	许堆	hei55lori331 	在这里，不在～
1149	哪里	底堆堆	dori35lori331 	你到～去？
1150	这样	这恩=	zei55oruŋ331 	事情是～的，不是那样的
1151	那样	许恩=	hei55oruŋ331 	事情是这样的，不是～的
1152	怎样	甚其	suŋ55ŋae21 	什么样：你要～的？
1153	这么	#14	zo35 	～贵啊
1154	怎么	甚其	suŋ55ŋae21 	这个字～写？
1155	什么	乜乇	mi55nork5 	这个是～字？
1156	什么	乜乇	mi55nork5 	你找～？
1157	为什么	作乜乇	zor55mi55nork5 	你～不去？
1158	干什么	作乜乇	zor55mi55nork5 	你在～？
1159	多少	若夥	ni44o331 	这个村有～人？
1160	很	够色	gau55lœuk5 	今天～热
1161	非常	有样	u44iaŋ41 	比上条程度深：今天～热
1162	更	故	gou35 	今天比昨天～热
1163	太	恰	kak5 	这个东西～贵，买不起
1164	最	第一	daei35 	弟兄三个中他～高
1165	都	都	dou331 	大家～来了
1166	一共	佮#15	gak5lau331 	～多少钱？
1167	一起	做一堆	zor55li44dori331 	我和你～去
1168	只	总共	zu35uŋ51 	我～去过一趟
1169	刚	正	ziaŋ35 	这双鞋我穿着～好
1170	刚	正	ziaŋ35 	我～到
1171	才	正	ziaŋ35 	你怎么～来啊？
1172	就	就	ziu23 	我吃了饭～去
1173	经常	稠稠	saeu21lae21 	我～去
1174	又	又	yiu23 	他～来了
1175	还	故	gou35 	他～没回家
1176	再	再	ai35 	你明天～来
1177	也	也	ye23 	我～去；我～是老师
1178	反正	反正	huaŋ44ziaŋ35 	不用急，～还来得及
1179	没有	未	mui23 	昨天我～去
1180	不	伓	m23 	明天我～去
1181	别	莫	mork2 	你～去
1182	甭	伓要	ŋori35 	不用，不必：你～客气
1183	快	快	kae35 	天～亮了
1184	差点儿	差粒粒	ca44na44nak2 	～摔倒了
1185	宁可	宁可	niŋ21ŋor41 	～买贵的
1186	故意	直直	dei44dek2 	～打破的
1187	随便	随便	siu21biŋ23 	～弄一下
1188	白	白	bak2 	～跑一趟
1189	肯定	肯定	køuŋ55 iaŋ23 	～是他干的
1190	可能	可能	kor35nœŋ51 	～是他干的
1191	一边	蜀爿	si44βaeiŋ21 	～走，～说
1192	和	#16	kae21 	我～他都姓王
1193	和	#16	kae21 	我昨天～他去城里了
1194	对	见	giŋ35 	他～我很好
1195	往	向	hioŋ35 	～东走
1196	向	问	mouŋ35 	～他借一本书
1197	按	按	aŋ35 	～他的要求做
1198	替	替	tae35 	～他写信
1199	如果	#17#18	sø55o331 	～忙你就别来了
1200	不管	莫管	mor44guaŋ41 	～怎么劝他都不听
