编号	普通话	方言	发音	注释
0231	翅膀	翼 翼膀	siak2 sie44borŋ53 	鸟的，统称 鸟的，统称
0232	爪子	爪	zo41 	鸟的，统称
0233	尾巴	尾	mui41 	
0234	窝	薮	seu35 	鸟的
0235	虫子	虫	tœuŋ21 	统称
0236	蝴蝶	蝴蝶	hu21lik2 	统称
0237	蜻蜓	蜻家	ciŋ44ŋa331 	统称
0238	蜜蜂	蜂	pouŋ331 	
0239	蜂蜜	蜜	mek2 	
0240	知了	蝉	siŋ21 	统称
0241	蚂蚁	蚁公	ŋe44œuŋ331 	
0242	蚯蚓	猴蚓	ga21uŋ41 	
0243	蚕	蚕	caeiŋ21 	
0244	蜘蛛	蜘蛛	di44døi331 	会结网的
0245	蚊子	蚊虫	mui21nœuŋ21 	统称
0246	苍蝇	菩蝇	bu21liŋ21 	统称
0247	跳蚤	绞蚤	ga35ʒo51 	咬人的
0248	虱子	虱母	sek55mor51 	
0249	鱼	鱼	ŋøi21 	
0250	鲤鱼	鲤鱼	li35ŋøi51 	
0251	鳙鱼	红鲶鱼	œuŋ21naeiŋ21ŋøi21 	胖头鱼
0252	鲫鱼	鲫鱼	ti55ŋøi21 	
0253	甲鱼	团鱼	doruŋ21ŋøi21 	
0254	鳞	鳞	leiŋ21 	鱼的
0255	虾	虾	ha21 	统称
0256	螃蟹	湖蟹	hu21ae23 	统称
0257	青蛙	洋蟆 青蛤	yioŋ21mae21 caŋ44ŋak5 	统称 统称
0258	癞蛤蟆	蛤蟆	ha21ma21 	表皮多疙瘩
0259	马	马	ma41 	
0260	驴	驴	lœ21 	
0261	骡	骡	lor21 	
0262	牛	牛	ŋou21 	
0263	公牛	牛牯	ŋu21gu41 	统称
0264	母牛	牛母	ŋu21mor41 	统称
0265	放牛	睨牛	ae55ŋou21 	
0266	羊	羊	yioŋ21 	
0267	猪	猪	døi331 	
0268	种猪	猪狮	di44lai331 	配种用的公猪
0269	公猪	菜猪	cai55døi331 	成年的，已阉的
0270	母猪	猪母	di44mor331 	成年的，未阉的
0271	猪崽	猪囝	di23iaŋ331 	
0272	猪圈	猪栏	di23laŋ331 	
0273	养猪	饲猪	ci55døi331 	
0274	猫	猫咪	ma21nei35 	
0275	公猫	猫咪红	ma21ni55œŋ21 	
0276	母猫	猫咪母	ma21ni55mor51 	
0277	狗	犬	keiŋ41 	统称
0278	公狗	犬牯	keiŋ35ŋu51 	
0279	母狗	犬母	keiŋ35mor51 	
0280	叫	吠	bøi23 	狗～
0281	兔子	署=鼠 兔	si44ci41 tou35 	
0282	鸡	鸡	gi331 	
0283	公鸡	鸡角	gi44œuk5 	成年的，未阉的
0284	母鸡	鸡母	gi23mor331 	已下过蛋的
0285	叫	叫更	giu55aŋ331 	公鸡～（即打鸣儿）
0286	下	生	saŋ331 	鸡～蛋
0287	孵	孵	bou21 	～小鸡
0288	鸭	鸭	ak5 	
0289	鹅	鹅	ŋe21 	
0290	阉	刔	gik5 	～公的猪
0291	阉	刔	gik5 	～母的猪
0292	阉	刔	gik5 	～鸡
0293	喂	饲	cei35 	～猪
0294	杀猪	刣猪	tai21døi331 	统称，注意婉称
0295	杀	刣	tai21 	～鱼
0296	村庄	村	coruŋ331 	一个～
0297	胡同	巷	hœuŋ35 	统称：一条～
0298	街道	街中	gae44loruŋ331 	
0299	盖房子	徛厝	ke55cu35 	
0300	房子	厝	cu35 	整座的，不包括院子
0301	屋子	间里	giŋ23ni331 	房子里分隔而成的，统称
0302	卧室	正间	ziaŋ55giŋ331 	
0303	茅屋	舷=草楼	hiŋ21co35laeu51 	茅草等盖的
0304	厨房	灶前	zau55laeiŋ21 	
0305	灶	鼎灶	diaŋ55nʒau35 	统称
0306	锅	鼎	diaŋ41 	统称
0307	饭锅	鼎	diaŋ41 	煮饭的
0308	菜锅	鼎	diaŋ41 	炒菜的
0309	厕所	灰寮	hu23leu331 	旧式的，统称
0310	檩	桁	aŋ21 	左右方向的
0311	柱子	柱	teu23 	
0312	大门	大门头	do44mouŋ21nau21 	
0313	门槛儿	门垫	muŋ21naeiŋ23 	
0314	窗	窗门	toruŋ23muoŋ331 	旧式的
0315	梯子	手梯	ciu55lai331 	可移动的
0316	扫帚	柴帚	ca21liu331 	统称
0317	扫地	扫地下	sau55diu44a23 	
0318	垃圾	粪屑	buŋ55nor35 	
0319	家具	家私	ga44lei331 	统称
0320	东西	乇	nork5 	我的～
0321				
0322	床	床	coruŋ21 	木制的，睡觉用
0323	枕头	床头	coruŋ21nau21 	
0324	被子	被	pui23 	
0325	棉絮	棉絮	miŋ21nøi35 	
0326	床单	床单	coruŋ21naŋ331 	
0327	褥子	褥	yiok2 	
0328	席子	席	cik2 	
0329	蚊帐	蚊#4	muoŋ21nu21 	
0330	桌子	桌	dork5 	统称
0331	柜子	柜	gøi23 	统称
0332	抽屉	桌柜	dø55øi331 	桌子的
0333	案子	条桌	daeu21dork5 	长条形的
0334	椅子	椅	i41 	统称
0335	凳子	凳	deiŋ35 	统称
0336	马桶	尿桶	ŋe23dœuŋ41 	有盖的
0337	菜刀	灶刀	zau55dor331 	
0338	瓢	瓠头	bu21lau21 	舀水的
0339	缸	缸	goruŋ331 	
0340	坛子	坛	taŋ21 	装酒的～
0341	瓶子	瓶	beiŋ21 	装酒的～
0342	盖子	𠖫	gaŋ41 	杯子的～
0343	碗	碗	waŋ41 	统称
0344	筷子	箸	døi23 	
0345	汤匙	调羹	diu21œuŋ331 	
0346	柴火	火柴	hui35ʒa51 	统称
0347	火柴	火索	hui55lok5 	
0348	锁	锁	sor41 	
0349	钥匙	锁匙	sor35li51 	
0350	暖水瓶	茶罐	da21uaŋ35 	
0351	脸盆	面桶	miŋ55nøuŋ51 	
0352	洗脸水	洗面其水	sae55mi55ae44zi41 	
0353	毛巾	面布	miŋ55mo35 	洗脸用
0354	手绢	手巾	ciu55øuŋ331 	
0355	肥皂	胰皂	i21ʒor23 	洗衣服用
0356	梳子	头梳	tau21lœ331 	旧式的，不是篦子
0357	缝衣针	针	zaeiŋ331 	
0358	剪子	铰刀	ge44dor331 	
0359	蜡烛	蜡烛	lak44zuk5 	
0360	手电筒	手电	ciu55diŋ23 	
0361	雨伞	伞	saŋ41 	挡雨的，统称
0362	自行车	骹踏车	ga22la44ce331 	
0363	衣服	衣裳	i23ioŋ331 	统称
0364	穿	颂	souŋ23 	～衣服
0365	脱	褪	toruŋ35 	～衣服
0366	系	缚	buk2 	～鞋带
0367	衬衫	衬衫	cœuŋ55naŋ331 	
0368	背心	背心	bui44ʒiŋ331 	带两条杠的，内衣
0369	毛衣	羊毛朗=	yioŋ21mor21louŋ41 	
0370	棉衣	棉袄	miŋ21nor41 	
0371	袖子	手䘼	ciu35uŋ51 	
0372	口袋	纽袋	niu21ori23 	衣服上的
0373	裤子	裤	kou35 	
0374	短裤	裤裆	ku55loruŋ331 	
0375	裤腿	裤骹	ku55a331 	
0376	帽子	帽	mor23 	统称
0377	鞋子	鞋	ae23 	
0378	袜子	袜	wak2 	
0379	围巾	领巾	liaŋ55ŋøuŋ331 	
0380	围裙	围身裙	wu21liŋ44ŋouŋ331 	
0381	尿布	衲饼	nak44biaŋ41 	
0382	扣子	扣头	kiu55dau21 	
0383	扣	扣	kaeu35 	～扣子
0384	戒指	手指	ciu35i51 	
0385	手镯	镯	sork2 	
